mode,round_num,timestamp,latency_s,cpu_avg_pct,ram_avg_mb,bandwidth_bytes
baseline,1,2026-04-25T18:03:42,1.1588,0.0,0.0,58
baseline,2,2026-04-25T18:03:53,1.108,0.0,0.0,285
baseline,3,2026-04-25T18:04:04,1.1599,0.0,0.0,285
baseline,4,2026-04-25T18:04:15,1.0871,0.0,0.0,285
baseline,5,2026-04-25T18:04:26,1.101,0.0,0.0,285
baseline,6,2026-04-25T18:04:37,1.0923,0.0,0.0,285
baseline,7,2026-04-25T18:04:48,1.0884,0.0,0.0,285
baseline,8,2026-04-25T18:05:00,1.1181,0.0,0.0,285
baseline,9,2026-04-25T18:05:11,1.0958,0.0,0.0,285
baseline,10,2026-04-25T18:05:22,1.1361,0.0,0.0,285
baseline,11,2026-04-25T18:05:33,1.1138,0.0,0.0,285
baseline,12,2026-04-25T18:05:44,1.1357,0.0,0.0,285
baseline,13,2026-04-25T18:05:55,1.0915,0.0,0.0,285
baseline,14,2026-04-25T18:06:07,1.1131,0.0,0.0,285
baseline,15,2026-04-25T18:06:18,1.1394,0.0,0.0,285
baseline,16,2026-04-25T18:06:29,1.1465,0.0,0.0,285
baseline,17,2026-04-25T18:06:40,1.0852,0.0,0.0,285
baseline,18,2026-04-25T18:06:51,1.0933,0.0,0.0,285
baseline,19,2026-04-25T18:07:02,1.1335,0.0,0.0,285
baseline,20,2026-04-25T18:07:14,1.1593,0.0,0.0,285
baseline,21,2026-04-25T18:07:25,1.1076,0.0,0.0,285
baseline,22,2026-04-25T18:07:36,1.1591,0.0,0.0,285
baseline,23,2026-04-25T18:07:47,1.0931,0.0,0.0,285
baseline,24,2026-04-25T18:07:58,1.0901,0.0,0.0,285
baseline,25,2026-04-25T18:08:09,1.0907,0.0,0.0,285
baseline,26,2026-04-25T18:08:20,1.0754,0.0,0.0,285
baseline,27,2026-04-25T18:08:32,1.1015,0.0,0.0,285
baseline,28,2026-04-25T18:08:43,1.0981,0.0,0.0,285
baseline,29,2026-04-25T18:08:54,1.0914,0.0,0.0,285
baseline,30,2026-04-25T18:09:05,1.0983,0.0,0.0,285
baseline,31,2026-04-25T18:09:16,1.0966,0.0,0.0,285
baseline,32,2026-04-25T18:09:27,1.0955,0.0,0.0,285
baseline,33,2026-04-25T18:09:38,1.0733,0.0,0.0,285
baseline,34,2026-04-25T18:09:49,1.1223,0.0,0.0,285
baseline,35,2026-04-25T18:10:00,1.0929,0.0,0.0,285
baseline,36,2026-04-25T18:10:12,1.0882,0.0,0.0,285
baseline,37,2026-04-25T18:10:23,1.0858,0.0,0.0,285
baseline,38,2026-04-25T18:10:34,1.1032,0.0,0.0,285
baseline,39,2026-04-25T18:10:45,1.215,0.0,0.0,285
baseline,40,2026-04-25T18:10:56,1.0761,0.0,0.0,285
baseline,41,2026-04-25T18:11:07,1.0986,0.0,0.0,285
baseline,42,2026-04-25T18:11:19,1.0991,0.0,0.0,285
