mode,round_num,timestamp,latency_s,cpu_avg_pct,ram_avg_mb,bandwidth_bytes
stack_b_client3,1,2026-04-25T19:57:29,5.5478,2.17,44.37,1455
stack_b_client3,2,2026-04-25T19:57:47,5.5623,0.91,46.24,1456
stack_b_client3,3,2026-04-25T19:58:06,5.5646,1.08,46.24,1454
stack_b_client3,4,2026-04-25T19:58:24,5.5645,1.45,46.24,1454
stack_b_client3,5,2026-04-25T19:58:42,5.5573,1.27,46.24,1453
stack_b_client3,6,2026-04-25T19:59:00,5.5641,1.63,46.24,1454
stack_b_client3,7,2026-04-25T19:59:19,5.5563,1.27,46.24,1453
stack_b_client3,8,2026-04-25T19:59:37,5.5686,1.81,46.24,1457
stack_b_client3,9,2026-04-25T19:59:55,5.5469,0.73,46.24,1458
stack_b_client3,10,2026-04-25T20:00:13,5.5853,1.45,46.24,1453
stack_b_client3,11,2026-04-25T20:00:31,5.5478,1.09,46.24,1457
stack_b_client3,12,2026-04-25T20:00:50,5.556,1.09,46.24,1453
stack_b_client3,13,2026-04-25T20:01:07,5.5552,1.09,46.24,1456
stack_b_client3,14,2026-04-25T20:01:25,5.5652,1.27,46.24,1455
stack_b_client3,15,2026-04-25T20:01:44,5.5975,1.43,46.24,1454
stack_b_client3,16,2026-04-25T20:02:02,5.5599,0.73,46.24,1453
stack_b_client3,17,2026-04-25T20:02:20,5.5578,1.27,46.24,1456
stack_b_client3,18,2026-04-25T20:02:38,5.552,1.09,46.24,1454
stack_b_client3,19,2026-04-25T20:02:56,5.5594,1.09,46.24,1456
stack_b_client3,20,2026-04-25T20:03:15,5.7318,3.54,46.24,1453
stack_b_client3,21,2026-04-25T20:03:33,5.5569,0.36,46.24,1455
stack_b_client3,22,2026-04-25T20:03:51,5.5645,0.91,46.24,1454
