mode,round_num,timestamp,latency_s,cpu_avg_pct,ram_avg_mb,bandwidth_bytes
stack_c,1,2026-04-25T19:03:24,6.5654,0.76,41.84,198
stack_c,2,2026-04-25T19:03:41,6.6059,2.28,42.1,427
stack_c,3,2026-04-25T19:03:59,6.6294,1.98,42.34,410
stack_c,4,2026-04-25T19:04:17,6.5612,0.92,42.34,411
stack_c,5,2026-04-25T19:04:35,6.5868,0.91,42.34,412
stack_c,6,2026-04-25T19:04:53,6.566,1.23,42.34,411
stack_c,7,2026-04-25T19:05:10,6.5646,1.22,42.34,412
stack_c,8,2026-04-25T19:05:28,6.5796,0.92,42.34,412
stack_c,9,2026-04-25T19:05:46,6.5431,2.61,42.34,412
stack_c,10,2026-04-25T19:06:04,6.5599,1.23,42.34,412
stack_c,11,2026-04-25T19:06:21,6.5769,1.22,42.34,412
stack_c,12,2026-04-25T19:06:39,6.5513,0.62,42.34,412
stack_c,13,2026-04-25T19:06:57,6.5708,1.22,42.34,412
stack_c,14,2026-04-25T19:07:15,6.5745,1.07,42.34,412
stack_c,15,2026-04-25T19:07:33,6.5758,1.07,42.34,412
stack_c,16,2026-04-25T19:07:50,6.586,1.06,42.34,412
stack_c,17,2026-04-25T19:08:08,6.6251,1.95,42.34,412
stack_c,18,2026-04-25T19:08:26,6.5658,0.92,42.34,412
stack_c,19,2026-04-25T19:08:44,6.5669,0.92,42.34,412
stack_c,20,2026-04-25T19:09:02,6.5756,0.92,42.34,412
stack_c,21,2026-04-25T19:09:19,6.5716,1.07,42.34,412
stack_c,22,2026-04-25T19:09:37,6.576,0.76,42.34,412
stack_c,23,2026-04-25T19:09:55,6.572,1.08,42.34,412
stack_c,24,2026-04-25T19:10:13,6.576,1.37,42.34,412
stack_c,25,2026-04-25T19:10:30,6.5896,1.07,42.34,412
stack_c,26,2026-04-25T19:10:48,6.581,0.92,42.34,412
stack_c,27,2026-04-25T19:11:06,6.5892,0.92,42.34,412
stack_c,28,2026-04-25T19:11:24,6.5717,1.22,42.34,412
stack_c,29,2026-04-25T19:11:42,6.5667,0.92,42.34,412
stack_c,30,2026-04-25T19:11:59,6.5677,0.92,42.34,412
stack_c,31,2026-04-25T19:12:17,6.5727,1.07,42.34,412
stack_c,32,2026-04-25T19:12:35,6.5705,1.22,42.34,412
stack_c,33,2026-04-25T19:12:52,6.5541,1.08,42.34,412
stack_c,34,2026-04-25T19:13:10,6.5616,0.77,42.34,412
stack_c,35,2026-04-25T19:13:28,6.5662,0.76,42.34,412
stack_c,36,2026-04-25T19:13:46,6.5968,1.84,42.34,412
stack_c,37,2026-04-25T19:14:04,6.5775,1.22,42.34,412
stack_c,38,2026-04-25T19:14:21,6.5933,1.53,42.34,412
stack_c,39,2026-04-25T19:14:39,6.5772,0.92,42.34,412
stack_c,40,2026-04-25T19:14:57,6.5735,1.08,42.34,412
stack_c,41,2026-04-25T19:15:15,6.565,1.08,42.34,412
stack_c,42,2026-04-25T19:15:33,6.5553,0.92,42.34,412
stack_c,43,2026-04-25T19:15:50,6.57,1.08,42.34,412
stack_c,44,2026-04-25T19:16:08,6.582,1.06,42.34,412
stack_c,45,2026-04-25T19:16:26,6.5708,1.07,42.34,412
stack_c,46,2026-04-25T19:16:44,6.5704,1.08,42.34,412
stack_c,47,2026-04-25T19:17:01,6.5747,1.52,42.34,412
stack_c,48,2026-04-25T19:17:19,6.5697,1.08,42.34,412
stack_c,49,2026-04-25T19:17:37,6.5575,1.07,42.34,412
