node_label,round_num,timestamp,latency_s,cpu_avg_pct,ram_avg_mb,bw_tx_bytes,bw_rx_bytes,bw_total_bytes
secagg_stackA_client_client3,1,2026-04-26T10:04:17,5.5425,0.91,48.3,1456,1439,2895
secagg_stackA_client_client3,2,2026-04-26T10:04:36,5.56,0.91,50.42,1458,1653,3111
secagg_stackA_client_client3,3,2026-04-26T10:04:54,5.5469,0.73,50.44,1456,1653,3109
secagg_stackA_client_client3,4,2026-04-26T10:05:12,5.563,0.55,50.45,1453,1652,3105
secagg_stackA_client_client3,5,2026-04-26T10:05:30,5.5459,0.55,50.47,1457,1653,3110
secagg_stackA_client_client3,6,2026-04-26T10:05:48,5.5342,0.55,48.68,1454,1652,3106
secagg_stackA_client_client3,7,2026-04-26T10:06:06,5.5553,1.09,48.68,1456,1652,3108
secagg_stackA_client_client3,8,2026-04-26T10:06:24,5.5616,1.09,48.69,1456,1652,3108
secagg_stackA_client_client3,9,2026-04-26T10:06:43,5.5496,0.73,31.14,1457,1652,3109
secagg_stackA_client_client3,10,2026-04-26T10:07:01,5.562,0.73,31.14,1455,1653,3108
secagg_stackA_client_client3,11,2026-04-26T10:07:19,5.5597,0.55,30.26,1454,1652,3106
secagg_stackA_client_client3,12,2026-04-26T10:07:37,5.5484,0.55,30.26,1453,1652,3105
secagg_stackA_client_client3,13,2026-04-26T10:07:55,5.5525,0.73,30.27,1456,1652,3108
secagg_stackA_client_client3,14,2026-04-26T10:08:13,5.5527,0.73,30.47,1451,1652,3103
secagg_stackA_client_client3,15,2026-04-26T10:08:31,5.5505,1.09,30.57,1456,1652,3108
secagg_stackA_client_client3,16,2026-04-26T10:08:50,5.5503,0.73,30.56,1452,1652,3104
secagg_stackA_client_client3,17,2026-04-26T10:09:08,5.5485,0.73,30.56,1456,1652,3108
secagg_stackA_client_client3,18,2026-04-26T10:09:26,5.5468,0.73,30.56,1455,1652,3107
